symbol,pvalue,gene,heat
AAAS,0.48325804222984,9606.ENSP00000209873,0.315820909845753
AACS,0.000492998268881717,9606.ENSP00000324842,3.3071546057054
AAGAB,0.242705861169679,9606.ENSP00000261880,0.614919735646173
AAK1,0.0069172515468574,9606.ENSP00000386456,2.16006643085223
AARS,0.000811571933982957,9606.ENSP00000261772,3.09067298027729
AARSD1,0.356053100152845,9606.ENSP00000409924,0.448485228477493
AATK,0.00571986686911786,9606.ENSP00000324196,2.24261407936787
ABCA1,0.116292287487006,9606.ENSP00000363868,0.934449086758242
ABCB6,1,9606.ENSP00000265316,0
ABCB7,0.74347744845251,9606.ENSP00000253577,0.128732200190003
ABCC1,0.00303470329333067,9606.ENSP00000382342,2.51788376401816
ABCC3,0.0116316058376143,9606.ENSP00000285238,1.93436032325339
ABCC5,0.0743910854818486,9606.ENSP00000333926,1.1284791042122
ABCD1,0.256271698198365,9606.ENSP00000218104,0.59129935321864
ABCD3,0.064084124323449,9606.ENSP00000359233,1.19324954571789
ABCE1,0.07247678635202,9606.ENSP00000296577,1.13980107168508
ABCF1,0.30792758518029,9606.ENSP00000313603,0.51155140380561
ABCF2,0.0914246688111385,9606.ENSP00000222388,1.03893660423307
ABCF3,0.299968106471634,9606.ENSP00000411471,0.52292491834601
ABHD12,0.0575999897476886,9606.ENSP00000365725,1.23957759387753
ABHD14B,0.420255770488622,9606.ENSP00000420065,0.376486314594831
ABHD17B,0.231255293315154,9606.ENSP00000366240,0.635908317697028
ABHD2,8.890528979677e-07,9606.ENSP00000268129,6.05107239807139
ABI1,0.553307413688931,9606.ENSP00000365312,0.25703351069562
ABI2,0.410892721535768,9606.ENSP00000295851,0.386271551667915
ABI3,0.53736917522931,9606.ENSP00000225941,0.269727249350124
ABL1,0.10336374758503,9606.ENSP00000361423,0.985631753160968
ABR,0.580081153013326,9606.ENSP00000303909,0.236511244643212
ABRACL,0.08012666836414,9606.ENSP00000356632,1.09622291468003
ABRAXAS2,1,9606.ENSP00000298492,0
ACAA2,0.534748798387241,9606.ENSP00000285093,0.271850182641197
ACACA,0.305310049214665,9606.ENSP00000483300,0.515258900756529
ACAD8,0.0159901390031414,9606.ENSP00000281182,1.79614776089198
ACAD9,0.276158835924189,9606.ENSP00000312618,0.55884105661656
ACADL,0.0114721849966726,9606.ENSP00000233710,1.94035385833019
ACADM,0.0219691473017569,9606.ENSP00000359871,1.65818679921642
ACADS,0.421473866068685,9606.ENSP00000242592,0.37522934909151
ACADSB,0.97031089931896,9606.ENSP00000357873,0.0130890902440388
ACADVL,0.021000444753585,9606.ENSP00000438689,1.67777150755263
ACAP2,0.144275423384739,9606.ENSP00000324287,0.840807642554659
ACAT1,1,9606.ENSP00000265838,0
ACAT2,0.0103932080835745,9606.ENSP00000301466,1.98325037756859
ACBD3,1,9606.ENSP00000355777,0
ACBD5,0.443357889572783,9606.ENSP00000379568,0.353245558841427
ACD,0.873016673592825,9606.ENSP00000483117,0.0589774617008366
ACIN1,0.00193563421602861,9606.ENSP00000262710,2.71317670951181
ACLY,0.000263174278970491,9606.ENSP00000253792,3.5797565582459
ACO1,0.0304479847726014,9606.ENSP00000309477,1.51644144625283
ACO2,0.078752467741374,9606.ENSP00000216254,1.10373582852668
ACOD1,1.11022302462516e-15,9606.ENSP00000366682,14.954589770191
ACOT11,0.84940407241335,9606.ENSP00000360366,0.0708856611433072
ACOT13,0.00083430279962382,9606.ENSP00000230048,3.07867629907573
ACOT2,0.222429936088772,9606.ENSP00000238651,0.652806762938727
ACOT7,1,9606.ENSP00000367086,0
ACOT8,1,9606.ENSP00000217455,0
ACOT9,0.320084560305398,9606.ENSP00000368605,0.494735274109184
ACOX3,1,9606.ENSP00000348775,0
ACP1,0.9796416584493,9606.ENSP00000272067,0.00893275514187661
ACP2,6.51255090500235e-05,9606.ENSP00000256997,4.18624886903979
ACP6,0.142439940680279,9606.ENSP00000463574,0.846368215861536
ACSF2,0.370555527600045,9606.ENSP00000401831,0.431146703950871
ACSL1,3.59188234710928e-10,9606.ENSP00000422607,9.44467789718236
ACSL3,0.00417752816217143,9606.ENSP00000350012,2.37908061369443
ACSL4,0.0889996940203361,9606.ENSP00000339787,1.05061148645068
